Source,Target,Type,Id,Label,timeset,Weight,,,,,
1009562,1010338,Undirected,19335,,,60,,,,,
1009726,1009368,Undirected,17315,,,59,,,,,
1009362,1009327,Undirected,19135,,,59,,,,,
1009697,1010338,Undirected,19200,,,59,,,,,
1009189,1009707,Undirected,19438,,,59,,,,,
1009310,1009508,Undirected,19867,,,59,,,,,
1009220,1009466,Undirected,17549,,,58,,,,,
1009351,1009697,Undirected,17803,,,58,,,,,
1009299,1009187,Undirected,17877,,,58,,,,,
1009175,1009337,Undirected,18536,,,58,,,,,
1009697,1009343,Undirected,19224,,,58,,,,,
1009610,1009175,Undirected,17238,,,57,,,,,
1009368,1009243,Undirected,17422,,,57,,,,,
1009165,1009652,Undirected,17761,,,57,,,,,
1009299,1009262,Undirected,17867,,,57,,,,,
1009268,1009724,Undirected,18254,,,57,,,,,
1009459,1009312,Undirected,18861,,,57,,,,,
1009610,1009367,Undirected,17268,,,56,,,,,
1009368,1009466,Undirected,17461,,,56,,,,,
1009718,1009471,Undirected,17611,,,56,,,,,
1009243,1009499,Undirected,18613,,,56,,,,,
1009562,1009583,Undirected,19336,,,56,,,,,
1010338,1011490,Undirected,19497,,,56,,,,,
1009512,1009417,Undirected,19601,,,56,,,,,
1009610,1009697,Undirected,17250,,,55,,,,,
1009220,1009281,Undirected,17533,,,55,,,,,
1009165,1009662,Undirected,17701,,,55,,,,,
1009662,1009592,Undirected,18096,,,55,,,,,
1009662,1009312,Undirected,18148,,,55,,,,,
1009243,1009381,Undirected,18621,,,55,,,,,
1009362,1009219,Undirected,19117,,,55,,,,,
1009524,1011490,Undirected,19974,,,55,,,,,
1009610,1009707,Undirected,17260,,,54,,,,,
1009299,1010338,Undirected,17891,,,54,,,,,
1009662,1010338,Undirected,18106,,,54,,,,,
1009472,1009327,Undirected,18968,,,54,,,,,
1009182,1009219,Undirected,20055,,,54,,,,,
1009726,1010738,Undirected,17390,,,53,,,,,
1009165,1009356,Undirected,17699,,,53,,,,,
1009175,1009697,Undirected,18513,,,53,,,,,
1009546,1009499,Undirected,18902,,,53,,,,,
1009159,1009381,Undirected,19181,,,53,,,,,
1009610,1009629,Undirected,17236,,,52,,,,,
1009610,1009281,Undirected,17261,,,52,,,,,
1009610,1009452,Undirected,17288,,,52,,,,,
1009718,1010338,Undirected,17613,,,52,,,,,
1009718,1009382,Undirected,17664,,,52,,,,,
1009351,1009562,Undirected,17806,,,52,,,,,
1009262,1009367,Undirected,18045,,,52,,,,,
1009282,1009592,Undirected,18305,,,52,,,,,
1009610,1009243,Undirected,17239,,,51,,,,,
1009726,1009351,Undirected,17320,,,51,,,,,
1009220,1009243,Undirected,17511,,,51,,,,,
1009165,1009282,Undirected,17704,,,51,,,,,
1009351,1009189,Undirected,17808,,,51,,,,,
1009351,1009281,Undirected,17814,,,51,,,,,
1009356,1009629,Undirected,17947,,,51,,,,,
1009356,1009592,Undirected,17957,,,51,,,,,
1009472,1009182,Undirected,18947,,,51,,,,,
1009472,1009382,Undirected,18969,,,51,,,,,
1009313,1009219,Undirected,19267,,,51,,,,,
1009337,1009267,Undirected,20035,,,51,,,,,
1009219,1009277,Undirected,20160,,,51,,,,,
1009718,1009299,Undirected,17586,,,50,,,,,
1009356,1009187,Undirected,17952,,,50,,,,,
1009282,1009459,Undirected,18302,,,50,,,,,
1009282,1009466,Undirected,18336,,,50,,,,,
1009366,1009466,Undirected,18474,,,50,,,,,
1009175,1009499,Undirected,18546,,,50,,,,,
1009512,1009219,Undirected,19613,,,50,,,,,
1009504,1009310,Undirected,19825,,,50,,,,,
1009368,1009546,Undirected,17427,,,49,,,,,
1009220,1009417,Undirected,17534,,,49,,,,,
1009718,1009562,Undirected,17610,,,49,,,,,
1009662,1009257,Undirected,18083,,,49,,,,,
1009662,1009338,Undirected,18097,,,49,,,,,
1009459,1009707,Undirected,18824,,,49,,,,,
1009459,1009466,Undirected,18840,,,49,,,,,
1009562,1009343,Undirected,19360,,,49,,,,,
1009351,1009257,Undirected,17786,,,48,,,,,
1009262,1009662,Undirected,18013,,,48,,,,,
1009662,1009629,Undirected,18086,,,48,,,,,
1009662,1009707,Undirected,18109,,,48,,,,,
1009159,1009417,Undirected,19154,,,48,,,,,
1010338,1009719,Undirected,19502,,,48,,,,,
1009220,1009407,Undirected,17536,,,47,,,,,
1009718,1009722,Undirected,17669,,,47,,,,,
1009662,1009187,Undirected,18091,,,47,,,,,
1009366,1009592,Undirected,18444,,,47,,,,,
1009243,1009277,Undirected,18615,,,47,,,,,
1009159,1009219,Undirected,19168,,,47,,,,,
1009159,1009327,Undirected,19189,,,47,,,,,
1009524,1009343,Undirected,19983,,,47,,,,,
1009610,1016181,Undirected,17306,,,46,,,,,
1009368,1009297,Undirected,17491,,,46,,,,,
1009165,1010791,Undirected,17711,,,46,,,,,
1009165,1009466,Undirected,17747,,,46,,,,,
1009662,1009282,Undirected,18085,,,46,,,,,
1009257,1009459,Undirected,18166,,,46,,,,,
1009175,1009524,Undirected,18534,,,46,,,,,
1009472,1010771,Undirected,18960,,,46,,,,,
1009504,1009327,Undirected,19854,,,46,,,,,
1009610,1009187,Undirected,17241,,,45,,,,,
1009610,1009189,Undirected,17255,,,45,,,,,
1009368,1009343,Undirected,17468,,,45,,,,,
1009220,1009224,Undirected,17561,,,45,,,,,
1009718,1009366,Undirected,17594,,,45,,,,,
1009718,1009707,Undirected,17617,,,45,,,,,
1009165,1009262,Undirected,17700,,,45,,,,,
1009262,1009215,Undirected,18047,,,45,,,,,
1009629,1009214,Undirected,18382,,,45,,,,,
1009368,1009417,Undirected,17445,,,44,,,,,
1009220,1009629,Undirected,17508,,,44,,,,,
1009220,1009452,Undirected,17558,,,44,,,,,
1009718,1010791,Undirected,17599,,,44,,,,,
1009718,1009705,Undirected,17657,,,44,,,,,
1009165,1009407,Undirected,17734,,,44,,,,,
1009351,1009262,Undirected,17784,,,44,,,,,
1009351,1009592,Undirected,17799,,,44,,,,,
1009268,1009512,Undirected,18255,,,44,,,,,
1009175,1009214,Undirected,18515,,,44,,,,,
1009546,1009214,Undirected,18876,,,44,,,,,
1009546,1009219,Undirected,18898,,,44,,,,,
1009313,1009337,Undirected,19262,,,44,,,,,
1009313,1009499,Undirected,19272,,,44,,,,,
1011336,1009638,Undirected,19790,,,44,,,,,
1009610,1009472,Undirected,17245,,,43,,,,,
1009610,1009562,Undirected,17253,,,43,,,,,
1009726,1009268,Undirected,17326,,,43,,,,,
1009726,1009466,Undirected,17370,,,43,,,,,
1009165,1009281,Undirected,17730,,,43,,,,,
1009356,1009562,Undirected,17964,,,43,,,,,
1009262,1009459,Undirected,18024,,,43,,,,,
1009546,1009707,Undirected,18884,,,43,,,,,
1009546,1009554,Undirected,18901,,,43,,,,,
1009362,1009508,Undirected,19115,,,43,,,,,
1009159,1009499,Undirected,19172,,,43,,,,,
1009313,1009554,Undirected,19270,,,43,,,,,
1009512,1009504,Undirected,19602,,,43,,,,,
1009417,1009524,Undirected,19726,,,43,,,,,
1009504,1009508,Undirected,19832,,,43,,,,,
1009726,1009562,Undirected,17345,,,42,,,,,
1009368,1009367,Undirected,17451,,,42,,,,,
1009718,1009524,Undirected,17629,,,42,,,,,
1009351,1009471,Undirected,17807,,,42,,,,,
1009356,1009697,Undirected,17961,,,42,,,,,
1009629,1009459,Undirected,18373,,,42,,,,,
1009187,1009524,Undirected,18717,,,42,,,,,
1009546,1009524,Undirected,18891,,,42,,,,,
1009697,1009583,Undirected,19201,,,42,,,,,
1009707,1009343,Undirected,19657,,,42,,,,,
1009508,1010771,Undirected,20103,,,42,,,,,
1009610,1010791,Undirected,17242,,,41,,,,,
1009368,1009472,Undirected,17428,,,41,,,,,
1009718,1009638,Undirected,17666,,,41,,,,,
1009262,1009366,Undirected,18018,,,41,,,,,
1009243,1009214,Undirected,18585,,,41,,,,,
1009515,1009389,Undirected,18672,,,41,,,,,
1009187,1010338,Undirected,18704,,,41,,,,,
1009187,1009466,Undirected,18723,,,41,,,,,
1009592,1009652,Undirected,19015,,,41,,,,,
1009338,1011490,Undirected,19057,,,41,,,,,
1009697,1009297,Undirected,19241,,,41,,,,,
1009277,1009638,Undirected,20265,,,41,,,,,
1009726,1009471,Undirected,17346,,,40,,,,,
1009368,1009381,Undirected,17477,,,40,,,,,
1009718,1009515,Undirected,17597,,,40,,,,,
1009165,1009366,Undirected,17706,,,40,,,,,
1009351,1009175,Undirected,17791,,,40,,,,,
1009351,1009243,Undirected,17792,,,40,,,,,
1009356,1009262,Undirected,17942,,,40,,,,,
1009159,1009337,Undirected,19163,,,40,,,,,
1009313,1009214,Undirected,19245,,,40,,,,,
1009214,1009705,Undirected,19324,,,40,,,,,
1009562,1009189,Undirected,19334,,,40,,,,,
1009189,1009297,Undirected,19476,,,40,,,,,
1011490,1009719,Undirected,20074,,,40,,,,,
1009718,1009262,Undirected,17588,,,39,,,,,
1009718,1009189,Undirected,17612,,,39,,,,,
1009718,1009583,Undirected,17614,,,39,,,,,
1009356,1009471,Undirected,17965,,,39,,,,,
1009366,1009187,Undirected,18439,,,39,,,,,
